t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8043,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8044,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8045,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8046,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8047,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8048,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8049,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8050,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8051,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8052,,0.1125,80,79.0,30.0,,,0.10126582278481013,0.11392405063291139,0.004024989934545776
8053,,0.1125,80,79.0,30.0,,,0.10126582278481013,0.11392405063291139,0.004024989934545776
8054,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8055,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8056,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8057,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8058,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8059,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8060,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8061,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8062,,0.125,80,79.0,30.0,,,0.11392405063291139,0.12658227848101267,0.00421272771194838
8063,,0.13749999999999998,80,79.0,30.0,,,0.12658227848101267,0.13924050632911392,0.004386672958964699
8064,,0.13749999999999998,80,79.0,30.0,,,0.12658227848101267,0.13924050632911392,0.004386672958964699
8065,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8066,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8067,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8068,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8069,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8070,,0.15,80,79.0,30.0,,,0.13924050632911392,0.1518987341772152,0.004548408358412636
8071,,0.16249999999999998,80,79.0,30.0,,,0.1518987341772152,0.16455696202531644,0.004699194783461837
8072,,0.16249999999999998,80,79.0,30.0,,,0.1518987341772152,0.16455696202531644,0.004699194783461837
8073,,0.16249999999999998,80,79.0,30.0,,,0.1518987341772152,0.16455696202531644,0.004699194783461837
8074,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8075,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8076,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8077,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8078,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
